DateTime,Bat,WindDir,WindSp,AirTemp,RelativeHum,BarometricPress,DailyRain,PARAir,PARW1,PARW2,CDOM,CDOMmV,CO2Shallow_Corrected,CO2Deep_Corrected,TempShallow,SpCondShallow,pHShallow,pHmVShallow,TurbShallow,ChlorophyllShallow,ChlRFUShallow,BGA_PCShallow2,ODOSatShallow,ODOShallow,TempDeep,SpCondDeep,pHDeep,pHmVDeep,BGA_PCDeep2,ODOSatDeep,ODODeep,Temp00,Temp01,Temp02,Temp03,Temp04,DOY
2015-05-14T16:40:00Z,13.3,240,2.4,12.5,44,28.3,0.01,1259,495,87,241,123.51,444.6,356.8,12.52,815,8.52,-91.5,2.3,17.7,3.8,0.7,93.2,9.91,11.79,802,8.56,-119.6,1.1,94.2,10.18,12.76,12.61,12.27,11.85,11.63,134
2015-05-14T16:50:00Z,13.3,227,6.1,13.28,43,28.3,0.01,762,238,116,242.5,129.09,446,300.6,12.5,815,8.52,-91.5,2.5,19.2,4.1,0.8,93.5,9.93,11.82,802,8.56,-119.8,NA,94.3,10.18,12.84,12.67,12.27,11.87,11.66,134
2015-05-14T17:00:00Z,13,204,4.3,12.89,44,28.3,0.01,521,173,71,243.1,129.37,451.9,319.2,12.52,815,8.52,-91.7,2.3,19.3,4.1,0.6,93.8,9.97,11.82,802,8.56,-119.8,1.1,94.4,10.19,12.92,12.75,12.23,11.89,11.68,134
2015-05-14T17:10:00Z,12.8,246,6.1,12.56,47,28.3,0.01,308,100,37,242.4,128.67,446.5,295.2,12.56,816,8.52,-91.6,2.2,20.3,4.3,0.8,93.7,9.95,11.83,802,8.56,-119.8,0.9,94.5,10.19,12.76,12.67,12.3,11.92,11.71,134
2015-05-14T17:20:00Z,13.2,226,6.7,12.56,45,28.3,0.01,296,90,36,243.1,129.4,450.6,288.6,12.55,816,8.52,-91.6,2.7,20.2,4.3,0.9,93.6,9.94,11.86,802,8.56,-119.8,1,94.5,10.19,12.65,12.58,12.26,11.95,11.71,134
2015-05-14T17:30:00Z,13.4,217,1.1,12.78,43,28.3,0.01,881,287,50,242.8,130.01,455.1,332.4,12.54,815,8.52,-91.5,2.4,18.7,4,0.7,93.9,9.98,11.87,801,8.56,-119.8,1,94.5,10.18,12.63,12.51,12.39,11.97,11.73,134
2015-05-14T17:40:00Z,13.4,130,4.8,13,42,28.3,0.01,886,288,61,243.1,130.48,442.7,329.4,12.48,816,8.53,-92,2.4,19.7,4.2,0.7,93.9,9.99,11.9,802,8.57,-119.9,1.2,94.6,10.2,12.69,12.55,12.3,12.01,11.73,134
2015-05-14T17:50:00Z,13.4,234,8.9,13.06,41,28.3,0.01,789,250,46,242.7,129.67,452.1,332.8,12.51,815,8.53,-92,2.4,19.6,4.2,1,94.3,10.02,11.9,802,8.57,-119.9,1.1,94.7,10.2,12.68,12.59,12.32,12.03,11.73,134
2015-05-14T18:00:00Z,13,234,5.8,12.89,43,28.3,0.01,246,63,44,242.6,129.66,453.6,312.7,12.53,816,8.53,-92,2.5,20.9,4.5,0.9,94.1,10,11.94,802,8.57,-119.9,1.4,95,10.22,12.61,12.53,12.38,12.08,11.77,134
2015-05-14T18:10:00Z,12.8,201,5.5,12.67,49,28.3,0.01,261,73,50,243.9,130.59,447.9,319.9,12.51,816,8.53,-92,2.6,20.5,4.4,0.7,94.3,10.03,11.98,802,8.56,-119.9,1,94.9,10.21,12.56,12.49,12.45,12.15,11.81,134
2015-05-14T18:20:00Z,13.2,214,7.4,12.89,44,28.3,0.01,196,54,31,246.1,130.55,451.9,333.5,12.53,817,8.52,-91.5,2.2,20.8,4.4,1.1,94.4,10.03,12.1,804,8.56,-119.7,1.3,95.2,10.21,12.64,12.56,12.49,12.26,11.85,134
2015-05-14T18:30:00Z,13.4,208,5.3,12.56,46,28.3,0.01,497,122,35,244.6,130.92,459.4,374.1,12.49,818,8.52,-91.8,2.6,20.2,4.3,0.9,94.5,10.05,11.99,802,8.56,-119.8,1,94.6,10.17,12.54,12.47,12.4,12.28,11.71,134
2015-05-14T18:40:00Z,13.5,152,4.4,12.89,47,28.2,0.01,495,126,48,245.6,129.57,451.5,365.1,12.46,817,8.53,-92,2.4,19.9,4.3,0.7,94.5,10.06,11.82,802,8.56,-119.3,1,93.4,10.09,12.5,12.42,12.35,12.33,11.54,134
2015-05-14T18:50:00Z,13.5,199,4.6,13.06,47,28.2,0.01,442,115,38,244.4,131.6,451.5,335.9,12.45,816,8.53,-92.3,2.3,20.6,4.4,0.8,94.7,10.08,11.81,804,8.56,-119.3,1.1,93.8,10.13,12.51,12.44,12.36,12.34,11.61,134
2015-05-14T19:00:00Z,13.3,237,7.9,13.39,40,28.2,0.01,346,85,28,243.9,130.79,450.1,354.5,12.44,816,8.54,-92.5,2.2,20.1,4.3,0.7,94.8,10.09,12.19,805,8.55,-119.2,1.1,94.6,10.13,12.48,12.41,12.35,12.35,11.73,134
2015-05-14T19:10:00Z,13.2,264,7.4,13.17,42,28.2,0.01,297,71,26,245.4,130.08,448.8,343.5,12.47,818,8.53,-92.2,2.6,20.1,4.3,1.1,95.1,10.12,12.08,805,8.55,-119.3,1,94.6,10.16,12.47,12.41,12.39,12.36,11.67,134
2015-05-14T19:20:00Z,13.4,218,5.2,12.89,48,28.2,0.01,250,55,25,244.6,130.4,448.5,319.1,12.43,817,8.54,-92.6,2.3,21,4.5,1,95,10.11,12.29,806,8.54,-118.4,1.1,94.8,10.13,12.46,12.39,12.38,12.38,11.75,134
2015-05-14T19:30:00Z,13.4,223,4.3,12.89,50,28.2,0.01,204,48,23,244.1,130.83,442.6,308.1,12.43,817,8.54,-92.4,2.2,20.2,4.3,0.7,95,10.12,12.32,807,8.54,-118.6,1.1,94.1,10.04,12.46,12.39,12.37,12.36,11.74,134
2015-05-14T19:40:00Z,13.4,210,2.9,12.89,47,28.2,0.01,159,38,21,244.4,130.37,449.9,346.3,12.41,817,8.54,-92.4,2.4,20.3,4.3,0.9,95.1,10.13,12.35,807,8.53,-118.2,1,94.6,10.09,12.44,12.38,12.37,12.37,11.62,134
2015-05-14T19:50:00Z,13.4,206,3.2,12.67,49,28.2,0.01,121,29,18,246,130.54,448.5,317.1,12.39,816,8.54,-92.5,2.1,21,4.5,0.7,95.1,10.13,12.2,807,8.55,-119,0.9,92.9,9.94,12.41,12.35,12.34,12.36,11.57,134
2015-05-14T20:00:00Z,13.2,226,2.8,12.5,51,28.2,0.01,87,23,16,245.7,131.08,441.1,364.5,12.38,816,8.54,-92.7,2.6,21.3,4.5,0.7,95.1,10.14,12.34,807,8.54,-118.6,1,94,10.02,12.39,12.32,12.32,12.35,11.61,134
2015-05-14T20:10:00Z,13,202,3.6,12,55,28.2,0.01,62,16,13,244.5,130.42,442.7,327,12.34,816,8.55,-92.9,2.3,21.7,4.6,0.8,95,10.14,12.33,807,8.53,-118,1.6,94.5,10.08,12.35,12.3,12.28,12.33,11.6,134
2015-05-14T20:20:00Z,13.2,222,2.1,11.39,60,28.2,0.01,42,12,11,245.1,130.99,444.9,334.7,12.33,815,8.55,-93.1,2.2,22,4.7,0.9,94.9,10.12,12.31,807,8.53,-117.9,1,95.1,10.15,12.35,12.29,12.29,12.32,12,134
2015-05-14T20:30:00Z,13.2,5,1,10.89,65,28.3,0.01,28,8,9,245.1,130.84,446.4,351.5,12.35,815,8.55,-93,2.3,22.9,4.9,0.8,95,10.14,12.28,809,8.53,-118,1.1,94.7,10.12,12.37,12.29,12.29,12.33,11.59,134
2015-05-14T20:40:00Z,13.1,344,1.9,10.28,56,28.3,0.01,17,6,7,245.9,131.18,436.1,313.9,12.33,815,8.55,-93,2.5,21.4,4.6,0.8,94.9,10.12,12.1,809,8.54,-118.5,1,94.4,10.13,12.34,12.28,12.28,12.31,11.71,134
2015-05-14T20:50:00Z,13.1,34,4.8,9.17,65,28.3,0.01,11,4,5,245.8,130.5,434.6,327.7,12.33,815,8.55,-93,2.3,23.8,5.1,0.7,94.9,10.12,11.95,810,8.55,-118.9,1,93.6,10.08,12.33,12.27,12.28,12.32,11.62,134
2015-05-14T21:00:00Z,12.8,38,6.1,7.89,69,28.3,0.01,8,4,5,243.7,130.45,434,331.5,12.33,815,8.55,-93,2.5,22.3,4.8,0.8,94.8,10.11,12.06,809,8.54,-118.5,0.9,93.9,10.08,12.33,12.27,12.26,12.29,11.71,134
2015-05-14T21:10:00Z,12.8,33,6.7,7.39,72,28.3,0.01,9,3,5,245.2,130.63,433.6,365.2,12.29,815,8.55,-93.1,2.3,23.9,5.1,0.9,94.5,10.09,12.23,808,8.53,-117.8,1,94.5,10.1,12.29,12.23,12.23,12.29,11.89,134
2015-05-14T21:20:00Z,13.1,36,6.7,7,72,28.3,0.01,8,3,5,246.4,131.12,432.6,343.4,12.29,816,8.54,-92.8,2.4,21.8,4.7,0.8,94.4,10.09,12.11,807,8.54,-118.5,1,93.9,10.07,12.28,12.23,12.21,12.25,11.77,134
2015-05-14T21:30:00Z,13,48,5.3,6.89,74,28.3,0.01,8,4,5,245.8,130.82,441.5,336.3,12.28,815,8.55,-92.9,2.5,22.5,4.8,0.9,94.5,10.09,12.22,807,8.52,-117.7,1.2,94.5,10.11,12.36,12.29,12.27,12.26,11.99,134
2015-05-14T21:40:00Z,13,38,4.8,7,75,28.3,0.01,9,4,5,243.6,130.31,443,325.5,12.38,815,8.56,-93.5,2.5,21.1,4.5,0.9,95,10.12,12.27,807,8.52,-117.4,1.2,94.7,10.12,12.4,12.33,12.32,12.32,12.07,134
2015-05-14T21:50:00Z,13,34,4.7,6.89,77,28.3,0.01,9,4,5,243.4,130.24,437.2,389.1,12.39,815,8.56,-93.5,2.4,20.5,4.4,0.9,95.2,10.15,12.22,808,8.52,-117.4,1.2,94.6,10.12,12.39,12.32,12.33,12.32,12.05,134
2015-05-14T22:00:00Z,12.8,39,4.7,5.89,79,28.3,0.01,10,3,5,243.7,129.88,428.4,335.9,12.38,815,8.56,-93.6,2.4,21.4,4.6,1.2,95.1,10.13,12.19,808,8.52,-117.7,1.1,94.5,10.11,12.39,12.32,12.32,12.34,12.02,134
2015-05-14T22:10:00Z,12.7,43,2.7,6.28,80,28.3,0.01,9,3,5,243.1,130,433,291.7,12.37,815,8.55,-93.5,2.3,20.5,4.4,0.9,95,10.12,12.2,808,8.52,-117.5,1.4,94.4,10.1,12.37,12.31,12.31,12.3,12.02,134
2015-05-14T22:20:00Z,13,34,3.9,6.5,82,28.3,0.01,10,4,5,243.9,129.99,431.3,335.4,12.35,815,8.56,-93.5,2.4,20.8,4.5,0.7,94.9,10.12,12.23,808,8.52,-117.7,1.1,94.3,10.09,12.35,12.29,12.29,12.33,12.11,134
2015-05-14T22:30:00Z,13,47,3.8,6.17,82,28.3,0.01,10,3,4,244.4,130.33,429.8,342.5,12.34,815,8.55,-93.5,2.5,23.6,5,1,94.9,10.12,12.18,808,8.53,-117.7,1,94.3,10.1,12.35,12.29,12.28,12.3,12.02,134
2015-05-14T22:40:00Z,12.9,29,5.4,5.78,79,28.3,0.01,10,4,5,244.8,130.78,431.2,362.5,12.31,815,8.56,-93.5,2.5,22.8,4.9,0.9,94.6,10.1,12.17,806,8.53,-117.9,1.1,94.2,10.09,12.31,12.25,12.26,12.25,11.94,134
2015-05-14T22:50:00Z,13,34,4.6,5.39,81,28.3,0.01,9,3,5,244.6,130.56,422.4,329.6,12.3,815,8.56,-93.5,2.4,22.5,4.8,0.8,94.6,10.1,12.1,806,8.53,-118.1,1,94,10.09,12.31,12.23,12.23,12.24,11.93,134
2015-05-14T23:00:00Z,12.7,33,4.7,5.28,83,28.3,0.01,9,3,5,245.6,130.57,435.6,359.5,12.28,815,8.56,-93.5,2.4,22.6,4.8,0.7,94.6,10.11,12.04,804,8.53,-118.1,0.9,93.6,10.05,12.29,12.23,12.22,12.23,11.87,134
2015-05-14T23:10:00Z,12.6,19,5.1,5.89,83,28.3,0.01,9,3,5,244.9,130.7,432.9,320.1,12.24,814,8.56,-93.5,2.5,22.7,4.9,0.7,94.2,10.07,12.17,805,8.53,-117.8,1,94.1,10.08,12.27,12.2,12.19,12.21,11.98,134
2015-05-14T23:20:00Z,12.9,25,4.6,5.06,86,28.3,0.01,10,4,5,245.4,130.9,434,346.6,12.2,815,8.56,-93.5,2.3,24.8,5.3,0.8,94,10.06,12.06,806,8.52,-117.5,1.1,93.3,10.02,12.22,12.16,12.16,12.18,11.91,134
