DateTime,Bat,WindDir,WindSp,AirTemp,RelativeHum,BarometricPress,DailyRain,PARAir,PARW1,PARW2,CDOM,CDOMmV,CO2Shallow_Corrected,CO2Deep,TempShallow,SpCondShallow,pHShallow,pHmVShallow,TurbShallow,ChlorophyllShallow,ChlRFUShallow,BGA_PCShallow2,ODOSatShallow,ODOShallow,TempDeep,SpCondDeep,pHDeep,pHmVDeep,BGA_PCDeep2,ODOSatDeep,ODODeep,Temp00,Temp01,Temp02,Temp03,Temp04,DOY
2016-05-18T12:50:00Z,13.2,5,8.3,20.5,35,28.1,0.03,1150,849,700,77.9,78.28,NA,NA,12.96,835,8.19,-68.8,1.3,2,0.5,0.2,98.4,10.35,12.73,837,8.51,-89.1,0.4,98.8,10.45,15.02,12.91,12.85,12.78,12.66,139
2016-05-18T13:00:00Z,12.9,337,7.1,20.5,37,28.1,0.03,1129,764,638,77.3,75.5,478.1,NA,13.04,837,8.4,-80.9,1.2,2.1,0.5,0.2,98.4,10.34,12.79,837,8.51,-89.6,0.4,98.7,10.42,14.96,12.97,12.91,12.8,12.65,139
2016-05-18T13:10:00Z,13.3,299,5.9,20.28,42,28.1,0.03,1096,801,660,75.7,74.26,530.9,NA,13.06,836,8.4,-80.8,1.4,1.8,0.5,0.2,98.9,10.38,12.74,837,8.51,-89.4,0.2,99,10.46,14.99,13.06,12.92,12.79,12.63,139
2016-05-18T13:20:00Z,13.4,310,7,19.89,38,28.1,0.03,1064,756,655,76.9,77.03,509.6,NA,13.13,837,8.35,-78.4,1.3,1.7,0.5,0.2,99.4,10.41,12.76,837,8.51,-89.5,0.1,99.1,10.47,14.92,13.08,13.04,12.84,12.64,139
2016-05-18T13:30:00Z,13.4,301,2,20.5,31,28.1,0.03,883,642,558,76.6,75.97,499.2,NA,13.54,833,8.32,-76.7,1.1,2.7,0.7,0.3,100.3,10.41,12.81,837,8.52,-89.8,0.2,99.6,10.52,14.9,13.9,13.11,12.94,12.66,139
2016-05-18T13:40:00Z,13.4,312,1.1,20.78,31,28.1,0.03,772,553,478,75,74.93,493.5,NA,13.23,836,8.3,-75.4,1.2,1.9,0.5,0.2,99.7,10.42,12.76,837,8.51,-89.7,0.2,99.4,10.5,14.91,13.27,13.15,12.85,12.66,139
2016-05-18T13:50:00Z,13.5,294,5.9,21,37,28.1,0.03,773,558,479,75,73.75,507,NA,14.01,835,8.35,-78.2,1.1,2.1,0.6,0.1,101.5,10.43,12.77,837,8.52,-89.9,0.1,99.5,10.51,14.94,NA,13.18,12.84,12.66,139
2016-05-18T14:00:00Z,13.3,328,5.4,20.06,33,28.1,0.03,677,484,417,73.7,74.23,481.7,NA,13.89,837,8.36,-78.8,1.1,2.3,0.6,0.2,100.8,10.38,12.79,837,8.52,-90.1,0.2,99.7,10.52,15.14,13.87,13.5,12.91,12.67,139
2016-05-18T14:10:00Z,13,283,5.3,20.06,35,28.1,0.03,544,364,319,74.5,74.27,521.7,NA,13.8,835,8.31,-75.7,1.2,2.1,0.6,0.2,100.9,10.42,12.81,836,8.53,-90.3,0.2,100.1,10.57,15.29,14,13.47,13,12.67,139
2016-05-18T14:20:00Z,13.5,263,0.8,21,29,28.1,0.03,532,362,316,74.2,73.95,495,NA,13.84,835,8.32,-76.3,1.3,2.7,0.7,0.2,101.1,10.43,12.81,836,8.53,-90.4,0.3,100,10.56,15.22,14.12,13.41,13.02,12.67,139
