Depth,Area
0.058,29490412.5
0.116,29480854.5
0.174,29466488
0.232,29442534
0.29,29409022
0.348,29356364.5
0.406,29150454.5
0.464,28791351
0.522,28437026.5
0.58,28149726
0.638,27824134.5
0.696,27426710.5
0.754,27000553.5
0.812,26641450
0.87,26282346.5
0.928,25798723.5
0.986,25147540.5
1.044,24577748
1.102,23816412
1.16,23155671
1.218,22308136
1.276,21599487
1.334,20981816
1.392,20215701
1.45,19310759
1.508,18415345.5
1.566,17577427.5
1.624,16878336.5
1.682,16208008
1.74,15580749.5
1.798,14948712
1.856,14268796
1.914,13631950
1.972,12975988
2.03,12415753.5
2.088,11941718
2.146,11429391.5
2.204,10873965.5
2.262,10285027.5
2.32,9734380.5
2.378,9145442.5
2.436,8700140
2.494,8135126.5
2.552,7680236.5
2.61,7306766.5
2.668,6851876.5
2.726,6588530
2.784,6325183.5
2.842,6061837
2.9,5755391
2.958,5477678
3.016,5180819.5
3.074,4850419.5
3.132,4520049
3.19,4251894
3.248,4002914
3.306,3797033.5
3.364,3571978
3.422,3370876.5
3.48,3164996
3.538,2949522.1
3.596,2801086.95
3.654,2690960.5
3.712,2590406.8
3.77,2480280.35
3.828,2389302.35
3.886,2264809.4
3.944,2130740.75
4.002,2039765.7
4.06,1948790.65
4.118,1829085.55
4.176,1723746.95
4.234,1671074.7
4.292,1580099.65
4.35,1489124.6
4.408,1388573.85
4.466,1302386.65
4.524,1206623.75
4.582,1130012.25
4.64,1039037.2
4.698,1005519.3
4.756,938483.5
4.814,876238.5
4.872,837932.75
4.93,790051.3
4.988,742169.85
5.046,694285.45
5.104,622464.75
5.162,569792.5
5.22,483605.3
5.278,416572.45
5.336,363903.15
5.394,311230.9
5.452,272925.15
5.51,239410.2
5.568,181950.1
5.626,143644.35
5.684,105341.55
5.742,76611.5
5.8,0
